numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
42,Los celadores en el ejercicio de sus funciones: Página 10 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"Se abstendrán de hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos, exploraciones y tratamientos que se estén realizando a los mismos y, mucho menos, informar sobre los pronósticos de su enfermedad, debiendo siempre orientar las consultas hacia la supervisora encargado de la asistencia del enfermo.","Podrán hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos, exploraciones y tratamientos que se estén realizando a los mismos, así como informar sobre los pronósticos de su enfermedad, debiendo siempre previamente consultarlo con el enfermo.","Se abstendrán de hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos, exploraciones y tratamientos que se estén realizando a los mismos y, mucho menos, informar sobre los pronósticos de su enfermedad, debiendo siempre orientar las consultas hacia el médico encargado de la asistencia del enfermo.","Podrán intercambiar comentarios con los familiares y visitantes de los enfermos sobre diagnósticos, exploraciones y tratamientos que se estén realizando a los mismos, debiendo siempre orientar las consultas hacia la supervisora encargada de la asistencia del enfermo. Respuesta Correcta: C",C,"Se abstendrán de hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos, exploraciones y tratamientos que se estén realizando a los mismos y, mucho menos, informar sobre los pronósticos de su enfermedad, debiendo siempre orientar las consultas hacia el médico encargado de la asistencia del enfermo.","42. Los celadores en el ejercicio de sus funciones:
Página 10 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Se abstendrán de hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos,
exploraciones y tratamientos que se estén realizando a los mismos y, mucho menos, informar sobre los
pronósticos de su enfermedad, debiendo siempre orientar las consultas hacia la supervisora encargado de la
asistencia del enfermo.
B) Podrán hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos, exploraciones
y tratamientos que se estén realizando a los mismos, así como informar sobre los pronósticos de su
enfermedad, debiendo siempre previamente consultarlo con el enfermo.
C) Se abstendrán de hacer comentarios con los familiares y visitantes de los enfermos sobre diagnósticos,
exploraciones y tratamientos que se estén realizando a los mismos y, mucho menos, informar sobre los
pronósticos de su enfermedad, debiendo siempre orientar las consultas hacia el médico encargado de la
asistencia del enfermo.
D) Podrán intercambiar comentarios con los familiares y visitantes de los enfermos sobre diagnósticos,
exploraciones y tratamientos que se estén realizando a los mismos, debiendo siempre orientar las consultas
hacia la supervisora encargada de la asistencia del enfermo.
Respuesta Correcta: C"
43,"En relación con la orientación e información a los pacientes y familiares, cuál de las siguientes funciones corresponde al celador","Informar a los familiares de los fallecidos en la institución sobre los trámites precisos para llevar a cabo los enterramientos y, en caso necesario, les remitirá al servicio de atención al paciente.",Llamar a los familiares de los enfermos intervenidos para informarles del desarrollo de la intervención.,Avisar a los familiares del paciente que va a ingresar en planta y el tratamiento médico a recibir.,"Avisar a los familiares y acompañantes de los asistidos en urgencias que pasen a las dependencias que van a ser informados de la asistencia y evolución del paciente, por parte del personal sanitario. Respuesta Correcta: D",D,"Avisar a los familiares y acompañantes de los asistidos en urgencias que pasen a las dependencias que van a ser informados de la asistencia y evolución del paciente, por parte del personal sanitario. Respuesta Correcta: D","43. En relación con la orientación e información a los pacientes y familiares, cuál de las siguientes funciones
corresponde al celador:
A) Informar a los familiares de los fallecidos en la institución sobre los trámites precisos para llevar a cabo los
enterramientos y, en caso necesario, les remitirá al servicio de atención al paciente.
B) Llamar a los familiares de los enfermos intervenidos para informarles del desarrollo de la intervención.
C) Avisar a los familiares del paciente que va a ingresar en planta y el tratamiento médico a recibir.
D) Avisar a los familiares y acompañantes de los asistidos en urgencias que pasen a las dependencias que van
a ser informados de la asistencia y evolución del paciente, por parte del personal sanitario.
Respuesta Correcta: D"
44,Señale cuál de las siguientes tareas deberán desempeñar los celadores en los centros sanitarios,Revisión y reparación de pequeños desperfectos en el mobiliario.,Amortajar a los cadáveres y trasladarlos al depósito de cadáveres.,Informar a los familiares de los pacientes de los horarios de visita.,Colocar al paciente en la mesa de operaciones siguiendo las indicaciones del TCAE. Respuesta Correcta: C,C,Informar a los familiares de los pacientes de los horarios de visita.,"44. Señale cuál de las siguientes tareas deberán desempeñar los celadores en los centros sanitarios:
A) Revisión y reparación de pequeños desperfectos en el mobiliario.
B) Amortajar a los cadáveres y trasladarlos al depósito de cadáveres.
C) Informar a los familiares de los pacientes de los horarios de visita.
D) Colocar al paciente en la mesa de operaciones siguiendo las indicaciones del TCAE.
Respuesta Correcta: C"
45,¿Es una función del celador informar a los familiares de las novedades que se produzcan sobre el pronóstico del paciente?,"Claro, siempre que trabaje en algún servicio de urgencias.","Sí, pero con discreción. Página 11 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",No.,Depende de muchas cosas. Respuesta Correcta: C,C,No.,"45. ¿Es una función del celador informar a los familiares de las novedades que se produzcan sobre el pronóstico del
paciente?
A) Claro, siempre que trabaje en algún servicio de urgencias.
B) Sí, pero con discreción.
Página 11 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
C) No.
D) Depende de muchas cosas.
Respuesta Correcta: C"
46,Las tareas de vigilancia se realizarán en turno de,Mañana.,Mañana y tarde.,"Mañana, tarde y noche.",Solo de noche. Respuesta Correcta: C,C,"Mañana, tarde y noche.","46. Las tareas de vigilancia se realizarán en turno de:
A) Mañana.
B) Mañana y tarde.
C) Mañana, tarde y noche.
D) Solo de noche.
Respuesta Correcta: C"
47,El familiar de un paciente pide al celador de puerta que le deje pasar unos alimentos para la dieta especial de un enfermo. ¿qué hará el celador?,"Si los alimentos no contienen alcohol, los dejará pasar.","Le dice que los pase, pero que la próxima vez pida permiso al supervisor de planta.",No permitirá la introducción de alimentos en el hospital.,Todas son falsas. Respuesta Correcta: C,C,No permitirá la introducción de alimentos en el hospital.,"47. El familiar de un paciente pide al celador de puerta que le deje pasar unos alimentos para la dieta especial de un
enfermo. ¿qué hará el celador?
A) Si los alimentos no contienen alcohol, los dejará pasar.
B) Le dice que los pase, pero que la próxima vez pida permiso al supervisor de planta.
C) No permitirá la introducción de alimentos en el hospital.
D) Todas son falsas.
Respuesta Correcta: C"
48,"Si un celador observa que un paciente ingresado se dispone a entrar en la cafetería, ¿qué hará?",Permitirá su entrada.,"Permitirá su entrada si es para coger cigarrillos, revistas o periódicos.","Le dirá que vuelva a la planta donde está ingresado y lo acompañará, si es preciso.",Le dirá que para entrar vaya primero a la planta a solicitar permiso al especialista de guardia. Respuesta Correcta: C,C,"Le dirá que vuelva a la planta donde está ingresado y lo acompañará, si es preciso.","48. Si un celador observa que un paciente ingresado se dispone a entrar en la cafetería, ¿qué hará?
A) Permitirá su entrada.
B) Permitirá su entrada si es para coger cigarrillos, revistas o periódicos.
C) Le dirá que vuelva a la planta donde está ingresado y lo acompañará, si es preciso.
D) Le dirá que para entrar vaya primero a la planta a solicitar permiso al especialista de guardia.
Respuesta Correcta: C"
49,¿A quién corresponde vigilar la entrada del hospital o institución sanitaria?,Vigilante de seguridad.,Personal de admisión.,Los celadores.,Todas son correctas. Página 12 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: C,C,Los celadores.,"49. ¿A quién corresponde vigilar la entrada del hospital o institución sanitaria?
A) Vigilante de seguridad.
B) Personal de admisión.
C) Los celadores.
D) Todas son correctas.
Página 12 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: C"
50,"Durante un traslado hospitalario, el paciente pide al celador que le deje consultar su historia clínica, el celador",Le facilita el acceso a su historia clínica.,No le facilita el acceso a su historia clínica.,No está autorizado para facilitarle el acceso a la historia clínica.,Todas las respuestas son falsas. Respuesta Correcta: C,C,No está autorizado para facilitarle el acceso a la historia clínica.,"50. Durante un traslado hospitalario, el paciente pide al celador que le deje consultar su historia clínica, el celador:
A) Le facilita el acceso a su historia clínica.
B) No le facilita el acceso a su historia clínica.
C) No está autorizado para facilitarle el acceso a la historia clínica.
D) Todas las respuestas son falsas.
Respuesta Correcta: C"
51,El/la celador/a de puerta debe prohibir la entrada en el centro sanitario a quien lleve,Flores.,Comida.,Libros.,Prensa. Respuesta Correcta: B,B,Comida.,"51. El/la celador/a de puerta debe prohibir la entrada en el centro sanitario a quien lleve:
A) Flores.
B) Comida.
C) Libros.
D) Prensa.
Respuesta Correcta: B"
52,El control de visitas es función de,Celador de urgencias.,Vigilante de seguridad.,Celador de puerta.,Celador de quirófano. Respuesta Correcta: C,C,Celador de puerta.,"52. El control de visitas es función de:
A) Celador de urgencias.
B) Vigilante de seguridad.
C) Celador de puerta.
D) Celador de quirófano.
Respuesta Correcta: C"
53,El/la celador/a realizará las siguientes funciones,Tramitarán o conducirán con demora las comunicaciones verbales.,"Tramitarán o conducirán sin tardanza documentos, correspondencia u objetos que les sean confiados por sus compañeros celadores.",Trasladarán de unos servicios a otros los aparatos o mobiliario que se requiera.,Todas las respuestas anteriores son correctas. Respuesta Correcta: C Página 13 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,C,Trasladarán de unos servicios a otros los aparatos o mobiliario que se requiera.,"53. El/la celador/a realizará las siguientes funciones:
A) Tramitarán o conducirán con demora las comunicaciones verbales.
B) Tramitarán o conducirán sin tardanza documentos, correspondencia u objetos que les sean confiados por
sus compañeros celadores.
C) Trasladarán de unos servicios a otros los aparatos o mobiliario que se requiera.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: C
Página 13 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
54,Indique cuál de las siguientes afirmaciones sobre las tramitaciones verbales que realizan los celadores NO es correcta,Las instrucciones forman parte de las tramitaciones verbales.,Transmiten mensajes tanto a compañeros como a superiores o subordinados.,Deben transmitirlas con la máxima celeridad.,Transmiten mensajes a familiares referentes a diagnósticos de pacientes. Respuesta Correcta: D,D,Transmiten mensajes a familiares referentes a diagnósticos de pacientes. Respuesta Correcta: D,"54. Indique cuál de las siguientes afirmaciones sobre las tramitaciones verbales que realizan los celadores NO es
correcta:
A) Las instrucciones forman parte de las tramitaciones verbales.
B) Transmiten mensajes tanto a compañeros como a superiores o subordinados.
C) Deben transmitirlas con la máxima celeridad.
D) Transmiten mensajes a familiares referentes a diagnósticos de pacientes.
Respuesta Correcta: D"
55,"Los celadores en el ejercicio de sus funciones, señale la respuesta CORRECTA",Ayudarán a las enfermeras y ayudantes de planta al movimiento y traslado de los enfermos encamados que requieran un trato especial en razón de sus dolencias para hacerles las camas.,"Informará a los familiares de los fallecidos en la institución sobre los trámites precisos para llevar a cabo los enterramientos y en caso necesario, les pondrá en contacto la oficina administrativa correspondiente para completar dicha información.","Atención del alumbrado interior y exterior del edificio, instalaciones de alumbrado y fuerza.",Todas las anteriores son funciones del celador. Respuesta Correcta: A,A,Ayudarán a las enfermeras y ayudantes de planta al movimiento y traslado de los enfermos encamados que requieran un trato especial en razón de sus dolencias para hacerles las camas.,"55. Los celadores en el ejercicio de sus funciones, señale la respuesta CORRECTA:
A) Ayudarán a las enfermeras y ayudantes de planta al movimiento y traslado de los enfermos encamados que
requieran un trato especial en razón de sus dolencias para hacerles las camas.
B) Informará a los familiares de los fallecidos en la institución sobre los trámites precisos para llevar a cabo los
enterramientos y en caso necesario, les pondrá en contacto la oficina administrativa correspondiente para
completar dicha información.
C) Atención del alumbrado interior y exterior del edificio, instalaciones de alumbrado y fuerza.
D) Todas las anteriores son funciones del celador.
Respuesta Correcta: A"
